,district,numbers
0,SI03,7
1,SI02,15
2,SI01,20
3,BX10,4
4,BX02,5
5,MN06,5
6,MN08,5
7,MN01,55
8,QE13,8
9,QW09,1
10,BKN05,11
11,BX06,10
12,BX05,5
13,QE10,5
14,MN09,7
15,BX12,6
16,QE14,12
17,BKN08,3
18,MN12,11
19,MN10,11
20,QW03,1
21,MN04,15
22,MN07,11
23,BKN17,0
24,BKN09,0
25,BKN16,1
26,BKN03,4
27,MN05,13
28,BKS12,1
29,BKS10,4
30,BKS06,11
31,BX03,4
32,BX11,2
33,QE07,10
34,MN11,7
35,QE11,4
36,QE08,9
37,BX09,9
38,QW01,7
39,BX01,10
40,BKS18,2
41,QW06,5
42,BX07,4
43,BX04,9
44,MN03,25
45,MN02,20
46,QW05,7
47,QW04,7
48,QW02,4
49,BX08,7
50,BKN04,0
51,BKS07,1
52,BKS15,4
53,BKS13,3
54,BKN02,22
55,BKS14,1
56,QE12,11
57,BKN01,16
58,BKS11,1